"Objeto","Tipo","Estado","Detalle"
"cmn.paListarSolicitud","SQL_STORED_PROCEDURE","DIFERENTE","desa 5623 car. / local 4006 car."
"cmn.paObtenerSolicitud","SQL_STORED_PROCEDURE","DIFERENTE","desa 5970 car. / local 2880 car."
"cmn.paRegistrarSolicitud","SQL_STORED_PROCEDURE","DIFERENTE","desa 15833 car. / local 14142 car."
"cmn.vwAgrupacionSiga","VIEW","DIFERENTE","desa 1654 car. / local 874 car."
"cmn.vwItemResumen","VIEW","DIFERENTE","desa 2234 car. / local 2043 car."
"requerimiento.paListarRequerimiento","SQL_STORED_PROCEDURE","DIFERENTE","desa 7056 car. / local 4526 car."
"requerimiento.paObtenerRequerimiento","SQL_STORED_PROCEDURE","DIFERENTE","desa 8461 car. / local 4115 car."
"requerimiento.paRegistrarRequerimiento","SQL_STORED_PROCEDURE","DIFERENTE","desa 19157 car. / local 17325 car."
"siga.vwCatalogoItem","VIEW","DIFERENTE","desa 1308 car. / local 1007 car."
"sigcm.fnSumarDiasHabiles","SQL_SCALAR_FUNCTION","DIFERENTE","desa 380 car. / local 352 car."
"sigcm.paEjecutarTransicion","SQL_STORED_PROCEDURE","DIFERENTE","desa 13538 car. / local 11299 car."
"sigcm.paFirmarDocumento","SQL_STORED_PROCEDURE","DIFERENTE","desa 4681 car. / local 4404 car."
"sigcm.paListarDocumento","SQL_STORED_PROCEDURE","DIFERENTE","desa 2760 car. / local 2155 car."
"sigcm.paListarMaestroSiga","SQL_STORED_PROCEDURE","DIFERENTE","desa 12516 car. / local 5093 car."
"sigcm.paListarPerfilAcceso","SQL_STORED_PROCEDURE","DIFERENTE","desa 3328 car. / local 2205 car."
"sigcm.paListarTransicionDisponible","SQL_STORED_PROCEDURE","DIFERENTE","desa 3193 car. / local 2434 car."
"sigcm.paObtenerSesion","SQL_STORED_PROCEDURE","DIFERENTE","desa 5908 car. / local 3960 car."
"sigcm.paObtenerTrazabilidad","SQL_STORED_PROCEDURE","DIFERENTE","desa 4811 car. / local 2469 car."
"sigcm.paRegistrarAuditoria","SQL_STORED_PROCEDURE","DIFERENTE","desa 1144 car. / local 1120 car."
"sigcm.paRegistrarDocumento","SQL_STORED_PROCEDURE","DIFERENTE","desa 6937 car. / local 6706 car."
"sigcm.paResolverActor","SQL_STORED_PROCEDURE","DIFERENTE","desa 2653 car. / local 2465 car."
"sigcm.paSiguienteCodigo","SQL_STORED_PROCEDURE","DIFERENTE","desa 742 car. / local 619 car."
"cmn.Solicitud","TABLE","IGUAL",""
"cmn.SolicitudItem","TABLE","IGUAL",""
"cmn.SolicitudItemPeriodo","TABLE","IGUAL",""
"dbo.Numero","TABLE","IGUAL",""
"integracion.Conciliacion","TABLE","IGUAL",""
"integracion.MapeoCmn","TABLE","IGUAL",""
"integracion.Operacion","TABLE","IGUAL",""
"integracion.vwEstadoCola","VIEW","IGUAL",""
"requerimiento.ParametroAnio","TABLE","IGUAL",""
"requerimiento.Requerimiento","TABLE","IGUAL",""
"requerimiento.RequerimientoItem","TABLE","IGUAL",""
"requerimiento.RequerimientoPedido","TABLE","IGUAL",""
"requerimiento.vwRequerimientoResumen","VIEW","IGUAL",""
"siga.CATALOGO_BIEN_SERV","SYNONYM","IGUAL",""
"siga.FUENTE_FINANC","SYNONYM","IGUAL",""
"siga.FUENTE_FINANC_EJEC","SYNONYM","IGUAL",""
"siga.META","SYNONYM","IGUAL",""
"siga.SIG_CENTRO_COSTO","SYNONYM","IGUAL",""
"siga.SIG_CENTRO_COSTO_TAREA","SYNONYM","IGUAL",""
"siga.SIG_CUADRO_MODIFICADO","SYNONYM","IGUAL",""
"siga.SIG_CUADRO_MODIFICADO_CMN","SYNONYM","IGUAL",""
"siga.SIG_CUADRO_MODIFICADO_DET","SYNONYM","IGUAL",""
"siga.SIG_CUADRO_MODIFICADO_SALDO","SYNONYM","IGUAL",""
"siga.SIG_CUADRO_X_CENTRO","SYNONYM","IGUAL",""
"siga.SIG_PARAMETRO_EJECUTORA_ANIO","SYNONYM","IGUAL",""
"siga.SIG_TECHO_PRESUPUESTO","SYNONYM","IGUAL",""
"siga.UNIDAD_MEDIDA","SYNONYM","IGUAL",""
"siga.vwCentroCosto","VIEW","IGUAL",""
"siga.vwCuadroEtapaCentro","VIEW","IGUAL",""
"siga.vwCuadroVigenteItem","VIEW","IGUAL",""
"siga.vwFuenteFinanc","VIEW","IGUAL",""
"siga.vwMeta","VIEW","IGUAL",""
"siga.vwParametroEjecutoraAnio","VIEW","IGUAL",""
"siga.vwTarea","VIEW","IGUAL",""
"siga.vwTechoPresupuesto","VIEW","IGUAL",""
"siga.vwUnidadMedida","VIEW","IGUAL",""
"sigcm.DiaNoHabil","TABLE","IGUAL",""
"sigcm.Documento","TABLE","IGUAL",""
"sigcm.DocumentoExpediente","TABLE","IGUAL",""
